,Unnamed: 0,Comments,Datetime,num_words
0,0,Students are VERY EASY CARRIERS as they will most likely be asyptomatics when infected. They are constantly exposed in close proximity with others like themselves...this can easily subject their maids and family . Hope they get their tokens ASAP.,2021-03-07,39
1,1,Actually all student ez-link card hv their name n record detail.. why not just tap in and tap out... simple....,2021-03-07,19
2,2,MOE and the public at large should brace themselves to deal with a never-ending stream of token-losing (by students) and token-finding (by the public who pick up tokens dropped by students).,2021-03-08,28
3,3,"Hmm... shouldn't MOE have scheduled Distribution of Trace Together Tokens to commence in January when school re-opened? MOE had the entire month of December 2020 to plan for the distribution of Trace Together Token - including securing adequate stocks, etc. 👌😷  ""The school distribution would be carried out in phases.""",2021-03-08,45
4,4,DON'T BE COMPLACENT. The new variants have mutated just to get the whole lot of youths. Even kids have high virus loads when infected.,2021-03-07,23
5,5,"The community cases. Has the agencies used this to notify the contacts who were in prolong contact with them?   And if it wasn't prolong contact, was there advisory to monitor one's health?",2021-03-08,30
6,6,The token battery lasts less than 2 months. What a waste of time and resources ,2021-03-07,14
7,7,"now at least considered a proper rollout...few mths back wanted to make it compulsory in school by dec 2020.aking all ruah like crazy to go queue...sometimes all these 4g also tcss the best,practical measures all in a mess",2021-03-07,39
8,8,Don’t be lazy just go nearly CC to collect it don’t wait for the school give it to you 😂😅,2021-03-07,21
9,9,Very not productive  and slow reaction,2021-03-08,6
10,10,"Just make it mandatory now for malls, then see how fast they collect it 😉",2021-03-07,14
11,11,Just mail into student residence address mail box...save all trouble,2021-03-07,11
12,12,Lots Of place still can’t use token le,2021-03-07,9
13,13,"Oh, I thought to trace together token are forbidded to enter classroom",2021-03-08,12
14,14,TT to track our children ... So our children could be a criminal 😂🤣 Gosh 🤭🤣😂,2021-03-08,13
15,16,Jinny Fernandez well CC open every day from 10Am to 6pm if there are free there can go collect 👋,2021-03-07,17
16,18,What’s the point of extending MCO when there is not enough street policing with grounded policies to get people to take care of their hygiene and wear masks properly.,2021-02-02,30
17,19,SOP? Meet for what? Flipping Roti Prata under this leadership......MCO and State of Emergency? Do they mean anything: night markets allowed to open and classified as Essential Services?  ,2021-02-02,29
18,20,news reported last week about the 70-80 MPs meeting however lunar new year dinner allowed 20 peoples only.What’s the hell of sop ,2021-02-02,20
19,21,Extend till end of the year best and do tell all the CM or MB to do more and talk less.,2021-02-02,21
20,22,"MCO is not that bad during CNY to those who are financially strapped tight since no visiting allowed save your red packets,tidbits,snacks",2021-02-02,24
21,23,The problem is..... anyone following on it????,2021-02-02,7
22,24,All Emergency General Orders should be maintained until the death rate (0.008%) drops. (Keep public health economics stable.)  Everywhere.,2021-02-02,18
23,25,Like Myanmar.. security council lol,2021-02-02,5
24,26,Just want to Save Malaysia  PM  job,2021-02-02,7
25,27,Copy and paste Singapore idea if you dont have a clue what to implement. 🙂,2021-02-02,14
26,28,"Dont worry , ""F""MCO ...festive MCO , happy happy .",2021-02-02,8
27,29,People following “standard operating procedures” be like,2021-02-02,7
28,30,????????.I thought they said no extension? Prata again?,2021-02-02,8
29,32,"If Malaysia MCO is extended, will Parliament suspension and GE also be extended?  ",2021-02-02,13
30,33,"I think this is so wrong.. the demonstration should be a peaceful one. All Myanmars should respect and obey law and order of their country of resident. We can ask for help, we can show our unhappiness towards the military coup in Myanmar but dont cause any nauisance or trouble to our host country..   Pls, pls, pls follow law n order of your country of resident. Pls dont let the world see us as uncivilized thugs, while we are victims.. 🙏🙏🙏",2021-02-02,80
31,34,"I am very sorry if you get annoy for our messages. But we really need help and your support.  In Myanmar, the military has detained our government, our elected leaders. We can't let them take control of our country like this. We clearly and strongly against the military. We do need your help and support.  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader, #Aung #San #Suu #Kyi #government!!!",2021-02-02,54
32,35,#ShameOnYou_The_Straits_Times for spreading false news!!! It is true that we all are panic but Myanmar citizens didn’t do any violent demonstrations in other countries.,2021-02-02,24
33,36,We Citizens do not accept this illegal takeover the Power of Country by military. Please we need special armed forces to destroy Min Aung Hlaing and his dictatorship. He’s using Myanmar Army for his own business and dictatorial purposes.,2021-02-02,40
34,37,We were there at the event and the fight was between Thai students and the polices. Myanmar ppl didn't fight with the polices at all.  Please don't post if you are not sure about the issue. how could we even believe the further news from your media. 🌚 👎,2021-02-02,45
35,38,"Guys  People in Photo no. 1,2 and 4 are not myanmar people. We, myanmar people, protested peacefully in every events that we involved. Please don't say that we deserve it. We didn't do anything wrong to deserve that. And please don't judge too early and say that kind of things to us without knowing the real source completely. Right now we are all at risks and we need more recognition and help from wherever we can all around the world.",2021-02-02,75
