,username,comments,timestamp,postUrl,pubDate,description
0,mothershipsg,#igsg #instasg #singapore #sgig #IGerssingapore #instadaily #photooftheday #potd #igsingapore #instasingapore #sg #sgphoto #singaporean #madaboutsingapore #yoursingapore #everydaysingapore #everydaysg #sgvideos #videos #covid19 #covid19sg #cnysg #cny2021 #cny,2021-01-23T06:26:45.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
1,theliuying,Okay so healthcare workers and frontliners out there risking their lives every day but people just want to nitpick at our country’s effort to minimize virus transmissions. Come I clap for you.,2021-01-23T14:54:43.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
2,dee.jun,"Y’all should take this time to appreciate the measures that the govt has gone to to balance the preservation of CNY festivities against the threat of another outbreak. Countries like the UK are seeing the spike in cases from Christmas gatherings now, and the grief and suffering is not worth it. Putting your frustrations aside, it’s better to be safe than sorry and our country has fought hard for us to have this level of freedom where we can still go out and see loved ones instead of being locked down a second time for the foreseeable future. 🙌",2021-01-23T20:28:30.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
3,violetquiche,Wish there were captions!!!!,2021-01-23T06:44:52.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
4,princessaelisha,Don't forget you trace tracking thingy 😅,2021-01-23T06:18:58.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
5,jasontoh5386,Maybe mr wong hates cny.. 😂😂😂,2021-01-23T07:46:17.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
6,wkaili,Heng play majong only need 4 ppl 😂,2021-01-23T07:10:48.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
7,darrenkohzr,"In summary. ‘ Trace Together allows us to enforce this. But if caught, we will say that it’s a complaint from your neighbours’",2021-01-23T09:07:22.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
8,ivanna.yu,When ah ma need to choose which 8 of her kids and grandchild can visit on 1st day of cny 😔,2021-01-23T13:15:40.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
9,roasteyes,Summary: WE DEPEND ON BAOTOH KIAS,2021-01-23T13:30:51.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
10,bubbachua,Max 8 visitor a day.. can't finish all the visiting in two days... So we should have a few more days as public holiday... 🤣,2021-01-23T10:17:08.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
11,lumchester,Stop. Encouraging. Snitching. What kinda society do u wanna live in jeez,2021-01-23T09:31:55.000Z,https://www.instagram.com/p/CKYGzfkoA3h/,2021-01-23T06:02:02.000Z,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced."
0,cats_are_evolving_fast,Ang pao 📉📉📉,2021-01-22T10:39:25.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
1,mothershipsg,#igsg #instasg #singapore #sgig #IGerssingapore #instadaily #photooftheday #potd #igsingapore #instasingapore #sg #sgphoto #singaporean #madaboutsingapore #yoursingapore #covid #covid19 #covid_19 #cny #chinesenewyear #cny2021 #socialdistancing #chinesenewyear2021 #covidnews,2021-01-22T10:38:32.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
2,mrwhatwa,It may be trash but that consider not bad tho. At least yall can still visit. Its much better than hari raya one lol,2021-01-22T10:40:56.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
3,loki.juhy,gonna be broke this year,2021-01-22T10:39:38.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
4,autismo_111,I just know a bunch of aunties will ignore this,2021-01-22T10:51:29.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
5,moemasrimohd,Because 8 is good luck!,2021-01-22T10:44:36.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
6,chewyanyan,Yay now less people can ask why i'm not married and single during CNY,2021-01-22T10:43:22.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
7,some_typucal_student,There goes my angpao money,2021-01-22T10:40:27.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
8,siegdelacroix,Hasn't it always been?,2021-01-22T10:39:40.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
9,im_ys_lol,How they track?,2021-01-22T10:39:21.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
10,_firassss__,stop the cap right now 🧢,2021-01-22T10:39:38.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
11,mdfxiiz,"fair enough, not like they dont allow, they did allow but with rules 🤷‍♂️",2021-01-22T10:43:30.000Z,https://www.instagram.com/p/CKWBtcTneBY/,2021-01-22T10:37:39.000Z,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash"
0,mothershipsg,#igsg #instasg #singapore #sgig #IGerssingapore #instadaily #photooftheday #potd #igsingapore #instasingapore #sg #sgphoto #singaporean #madaboutsingapore #yoursingapore,2021-01-21T15:46:43.000Z,https://www.instagram.com/p/CKUAQ1XnQag/,2021-01-21T15:46:31.000Z,"The period would definitely see an increased amount of intermingling between groups of people while visiting houses.

In the meantime, the government is still in the midst of considering whether additional safeguards and restrictions are required.

However, much of it is still up in the air, and the specific measures are currently still uncertain. #linkinbio

Photo from Romeo Tan / FB"
1,jo.johan.han,Hello pls paynow my angpao ty,2021-01-21T15:54:21.000Z,https://www.instagram.com/p/CKUAQ1XnQag/,2021-01-21T15:46:31.000Z,"The period would definitely see an increased amount of intermingling between groups of people while visiting houses.

In the meantime, the government is still in the midst of considering whether additional safeguards and restrictions are required.

However, much of it is still up in the air, and the specific measures are currently still uncertain. #linkinbio

Photo from Romeo Tan / FB"
2,tiffy.taffy.03,yay one more excuse to not see my extended family 😄,2021-01-21T15:49:41.000Z,https://www.instagram.com/p/CKUAQ1XnQag/,2021-01-21T15:46:31.000Z,"The period would definitely see an increased amount of intermingling between groups of people while visiting houses.

In the meantime, the government is still in the midst of considering whether additional safeguards and restrictions are required.

However, much of it is still up in the air, and the specific measures are currently still uncertain. #linkinbio

Photo from Romeo Tan / FB"
3,tbosheng_spartan,Better tighten measures earlier than to suffer longer after things get out of control later on,2021-01-21T16:05:41.000Z,https://www.instagram.com/p/CKUAQ1XnQag/,2021-01-21T15:46:31.000Z,"The period would definitely see an increased amount of intermingling between groups of people while visiting houses.

In the meantime, the government is still in the midst of considering whether additional safeguards and restrictions are required.

However, much of it is still up in the air, and the specific measures are currently still uncertain. #linkinbio

Photo from Romeo Tan / FB"
4,pak_indon_,won't be surprised if people tried to push the limits of the restrictions since it's cny,2021-01-21T15:49:54.000Z,https://www.instagram.com/p/CKUAQ1XnQag/,2021-01-21T15:46:31.000Z,"The period would definitely see an increased amount of intermingling between groups of people while visiting houses.

In the meantime, the government is still in the midst of considering whether additional safeguards and restrictions are required.

However, much of it is still up in the air, and the specific measures are currently still uncertain. #linkinbio

Photo from Romeo Tan / FB"
