,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
0,0,0,tfimnotzac._,The problem is are these vaccines effective against covid and safe to humans without side effects,"['problem', 'vaccin', 'effect', 'covid', 'safe', 'human', 'without', 'side', 'effect']",The problem is are these vaccines effective against covid and safe to humans without side effects
1,1,1,heizenberg_el_chino,PM LEE Took The Vaccine 💉👏👏👏👍👏👍👍👍👏👏❤️,"['pm', 'lee', 'took', 'vaccin']",PM LEE Took The Vaccine :syringe::clapping_hands::clapping_hands::clapping_hands::thumbs_up::clapping_hands::thumbs_up::thumbs_up::thumbs_up::clapping_hands::clapping_hands::red_heart:
2,2,2,sand_artist_lawrence_koh,👍👍👍,[],:thumbs_up::thumbs_up::thumbs_up:
3,3,3,verrarinana,"I think any reasonable people know that we Should get vaccinated to protect our society, our own health and in not very near future our wealth. Instead of talking about Why and trying to convince, can we please elaborate how reliable are the current brands of vaccine we have?","['think', 'reason', 'peopl', 'know', 'get', 'vaccin', 'protect', 'societi', 'health', 'near', 'futur', 'wealth', 'instead', 'talk', 'tri', 'convinc', 'pleas', 'elabor', 'reliabl', 'current', 'brand', 'vaccin']","I think any reasonable people know that we Should get vaccinated to protect our society, our own health and in not very near future our wealth. Instead of talking about Why and trying to convince, can we please elaborate how reliable are the current brands of vaccine we have?"
4,4,4,ssiva_universe,🌳🌹🌹🌺✍🏡🌅🚘🛫💙💘🎂🍨🥂🍻☕💄👏❤️🌳🌹🌺✍🏡🌅🚘🛫💙💘🎂🍨🥂🍻☕💄❤️🌳🌹🌺✍✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄❤️🌳🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂💙💘💙💘💙💘💙💘💙💘💙💘💙💙💙💙,[],:deciduous_tree::rose::rose::hibiscus::writing_hand::house_with_garden::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::clapping_hands::red_heart::deciduous_tree::rose::hibiscus::writing_hand::house_with_garden::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::red_heart::deciduous_tree::rose::hibiscus::writing_hand::writing_hand::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::red_heart::deciduous_tree::rose::hibiscus::writing_hand::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::blue_heart::blue_heart::blue_heart:
5,5,5,stupid_dead_crabs,weewoo,['weewoo'],weewoo
6,6,6,thisisjawad10,حتي يتم السيطرة على الفيروس بسهولة,[],حتي يتم السيطرة على الفيروس بسهولة
7,7,7,cestlavie1958,Always better be safe than sorry!!,"['alway', 'better', 'safe', 'sorri']",Always better be safe than sorry!!
8,8,8,therisingshadow.sg,Education!,['educ'],Education!
9,9,9,momo_no_hana,Is everyone suitable to be vaccinated ? Especially a person who's already on lots of medications and weak,"['everyon', 'suitabl', 'vaccin', 'especi', 'person', 'alreadi', 'lot', 'medic', 'weak']",Is everyone suitable to be vaccinated ? Especially a person who's already on lots of medications and weak
10,10,0,sand_artist_lawrence_koh,Stay safe,"['stay', 'safe']",Stay safe
11,11,1,melwu5057,Don't have too worry to much about the vaccine you are in the safe hands of the doctors nurse know what they are doing and are trained to do this type of work,"['worri', 'much', 'vaccin', 'safe', 'hand', 'doctor', 'nurs', 'know', 'train', 'type', 'work']",Don't have too worry to much about the vaccine you are in the safe hands of the doctors nurse know what they are doing and are trained to do this type of work
12,12,2,tfimnotzac._,Is not even strong to end the pandemic bro,"['even', 'strong', 'end', 'pandem', 'bro']",Is not even strong to end the pandemic bro
13,13,3,schulte1974,When can we normal EP holders get the vaccine?,"['normal', 'ep', 'holder', 'get', 'vaccin']",When can we normal EP holders get the vaccine?
14,14,4,chongsun1234,same same when we were told no need to wear masks one year ago,"['told', 'need', 'wear', 'mask', 'one', 'year', 'ago']",same same when we were told no need to wear masks one year ago
15,15,5,therisingshadow.sg,Yes!! It's time to listen to the science,"['ye', 'time', 'listen', 'scienc']",Yes!! It's time to listen to the science
16,16,6,dav.iannn,@catcuteme,[],@catcuteme
17,17,7,martinng5885,"Be very careful of new variant, they will derail vaccination program . More enforcement of imported cases","['care', 'new', 'variant', 'derail', 'vaccin', 'program', 'enforc', 'import', 'case']","Be very careful of new variant, they will derail vaccination program . More enforcement of imported cases"
18,18,8,azrafael,FAQ for anti vaxxers,"['faq', 'anti', 'vaxxer']",FAQ for anti vaxxers
19,19,0,sand_artist_lawrence_koh,Praying for everyone,"['pray', 'everyon']",Praying for everyone
20,20,1,limcheng1819,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.","['think', 'need', 'consist', 'enforc', 'effort', 'wet', 'market', 'stall', 'owner', 'wear', 'mask', 'shout', 'loud', 'lohei', 'great', 'world', 'citi', 'woman', 'wear', 'mask', 'till', 'reach', 'check', 'counter', 'put', 'super', 'loos', 'mask', 'bottom', 'loop', 'cut', 'better', 'breath', 'safe', 'distanc', 'ambassador', 'stand', 'next', 'counter', 'said', 'noth']","I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing."
