,name,comment,processed_text,demojize_text
0,kiahfong,👍,[],:thumbs_up:
1,nally_n,How come there is no date stating when is the exact date that Phase 3 will be effective?,"['come', 'date', 'state', 'exact', 'date', 'phase', 'effect']",How come there is no date stating when is the exact date that Phase 3 will be effective?
2,jesperlau98,👍 🙂 🤔 ❤️. Thank U Singapore. We r the best.,"['thank', 'u', 'singapor', 'r', 'best']",:thumbs_up: :slightly_smiling_face: :thinking_face: :red_heart:. Thank U Singapore. We r the best.
3,leee.dennis,👏👏👏👏👏,[],:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:
4,wnlynjnnmrie,@mncerln,[],@mncerln
5,jjasmineloh,"Let's continue to jia you, stay vigilant, observe social distancing and maintain good hand hygiene habits. We shall get through this together. Phase 3 here we go!!! 🙌🙌🙌","['let', 'continu', 'jia', 'stay', 'vigil', 'observ', 'social', 'distanc', 'maintain', 'good', 'hand', 'hygien', 'habit', 'shall', 'get', 'togeth', 'phase', 'go']","Let's continue to jia you, stay vigilant, observe social distancing and maintain good hand hygiene habits. We shall get through this together. Phase 3 here we go!!! :raising_hands::raising_hands::raising_hands:"
6,finnk925,Cant wait to be able to do more things and possibly travel 😀😄😀,"['cant', 'wait', 'abl', 'thing', 'possibl', 'travel']",Cant wait to be able to do more things and possibly travel :grinning_face::grinning_face_with_smiling_eyes::grinning_face:
7,karenlim38,Concert can resume?,"['concert', 'resum']",Concert can resume?
8,edmundo_edmund_,@gracefuleagle @kk.kemmy can all go out eat already pax of 8,"['go', 'eat', 'alreadi', 'pax']",@gracefuleagle @kk.kemmy can all go out eat already pax of 8
9,suruchithapar,@bpandya08,[],@bpandya08
10,suruchithapar,@vandana.pruthi,[],@vandana.pruthi
11,suruchithapar,@neesh_r @kanodia.parul,[],@neesh_r @kanodia.parul
12,tkengseng,👍👍👍we are the best,['best'],:thumbs_up::thumbs_up::thumbs_up:we are the best
13,rj_director,"The question is, when??",['question'],"The question is, when??"
14,digit4ldrvgl0rd,WHENNNNN,['whennnnn'],WHENNNNN
15,beebee4265,👏👏👏🤲,[],:clapping_hands::clapping_hands::clapping_hands::palms_up_together:
16,es.1990.s,"I have long term visit pass, when can I return to Singapore? I wish to return, but 2200$ is not affordable, due to the increase in flight expenses too...","['long', 'term', 'visit', 'pass', 'return', 'singapor', 'wish', 'return', 'afford', 'due', 'increas', 'flight', 'expens']","I have long term visit pass, when can I return to Singapore? I wish to return, but 2200$ is not affordable, due to the increase in flight expenses too..."
17,vivliveslovescooks,"We can do it, SG!",['sg'],"We can do it, SG!"
18,0_4kmh,Thank you for keeping sg safe 🙌,"['thank', 'keep', 'sg', 'safe']",Thank you for keeping sg safe :raising_hands:
19,murugesananandh,Any updates for foreign workers especially dormitory stay workers? 😢😢😢😢😢😢😢😢 we are pity,"['updat', 'foreign', 'worker', 'especi', 'dormitori', 'stay', 'worker', 'piti']",Any updates for foreign workers especially dormitory stay workers? :crying_face::crying_face::crying_face::crying_face::crying_face::crying_face::crying_face::crying_face: we are pity
20,greggoneloco,0 community cases. why dont you say it for what it is? survelliance tracking and invasion of privacy,"['commun', 'case', 'dont', 'say', 'survelli', 'track', 'invas', 'privaci']",0 community cases. why dont you say it for what it is? survelliance tracking and invasion of privacy
21,ragnar_lothbrok1994,"Singapore govt took care of us during the pandemic. But never thought they will lock us down Like this. Feels like coke chain on my throat. There are a large number of foreign workers in Singapore working not only for ourselves also for the betterment of Singapore, have little mercy on us. Even when no one was with me i never felt alone, but now even when people are around me i feel alone... I don't know how many times word suicide cross my mind, but i held on because of my family.... We can't go out to market, mini mart is too expensive campared to outside market.... Work will finish at 6:45, then we have to stand in queue for punching out and finally reach dorm at mostly at 8 or , then stand in queue for punching in... Then have to wait for turn to cook, shower , then talk to Family for sometime, eat then sleep.. Dorm life now..","['singapor', 'govt', 'took', 'care', 'us', 'pandem', 'never', 'thought', 'lock', 'us', 'like', 'feel', 'like', 'coke', 'chain', 'throat', 'larg', 'number', 'foreign', 'worker', 'singapor', 'work', 'also', 'better', 'singapor', 'littl', 'merci', 'us', 'even', 'one', 'never', 'felt', 'alon', 'even', 'peopl', 'around', 'feel', 'alon', 'know', 'mani', 'time', 'word', 'suicid', 'cross', 'mind', 'held', 'famili', 'ca', 'go', 'market', 'mini', 'mart', 'expens', 'campar', 'outsid', 'market', 'work', 'finish', 'stand', 'queue', 'punch', 'final', 'reach', 'dorm', 'mostli', 'stand', 'queue', 'punch', 'wait', 'turn', 'cook', 'shower', 'talk', 'famili', 'sometim', 'eat', 'sleep', 'dorm', 'life']","Singapore govt took care of us during the pandemic. But never thought they will lock us down Like this. Feels like coke chain on my throat. There are a large number of foreign workers in Singapore working not only for ourselves also for the betterment of Singapore, have little mercy on us. Even when no one was with me i never felt alone, but now even when people are around me i feel alone... I don't know how many times word suicide cross my mind, but i held on because of my family.... We can't go out to market, mini mart is too expensive campared to outside market.... Work will finish at 6:45, then we have to stand in queue for punching out and finally reach dorm at mostly at 8 or , then stand in queue for punching in... Then have to wait for turn to cook, shower , then talk to Family for sometime, eat then sleep.. Dorm life now.."
